# Matter power spectrum P(k) at redshift z=0
# for k=1.04182e-05 to 5.31614 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.370645744801e-01       7.276334301056e+02 
       3.402738577107e-01       7.127089452477e+02 
       3.434831414724e-01       6.980730356384e+02 
       3.466924257504e-01       6.837600388270e+02 
       3.499017105303e-01       6.699762561424e+02 
       3.531109957984e-01       6.567739288169e+02 
       3.563202815415e-01       6.441954521906e+02 
       3.595295677468e-01       6.322670796730e+02 
       3.627388544019e-01       6.209860519808e+02 
       3.659481414950e-01       6.103251464623e+02 
       3.691574290147e-01       6.001770768239e+02 
       3.723667169497e-01       5.904558483431e+02 
       3.755760052895e-01       5.810700940404e+02 
       3.787852940237e-01       5.718723744436e+02 
       3.819945831424e-01       5.628757305714e+02 
       3.852038726358e-01       5.539457478439e+02 
       3.884131624947e-01       5.450605434523e+02 
       3.916224527100e-01       5.362454374844e+02 
       3.948317432730e-01       5.274634779649e+02 
       3.980410341752e-01       5.186825500509e+02 
       4.012503254086e-01       5.099769382247e+02 
       4.044596169651e-01       5.013473237903e+02 
       4.076689088371e-01       4.928552136234e+02 
       4.108782010172e-01       4.845342230266e+02 
       4.140874934982e-01       4.764430593428e+02 
       4.172967862732e-01       4.685718608400e+02 
       4.205060793353e-01       4.609499839339e+02 
       4.237153726780e-01       4.535719959241e+02 
       4.269246662950e-01       4.464506688778e+02 
       4.301339601801e-01       4.395669950345e+02 
       4.333432543274e-01       4.329089245146e+02 
       4.365525487309e-01       4.264683138515e+02 
       4.397618433852e-01       4.202141079226e+02 
       4.429711382847e-01       4.141221279287e+02 
       4.461804334241e-01       4.081536233609e+02 
       4.493897287983e-01       4.023243391819e+02 
       4.525990244022e-01       3.965669014142e+02 
       4.558083202310e-01       3.908599021277e+02 
       4.590176162800e-01       3.852310667920e+02 
       4.622269125444e-01       3.796642814057e+02 
       4.654362090200e-01       3.741634247495e+02 
       4.686455057023e-01       3.687338844472e+02 
       4.718548025870e-01       3.633808191143e+02 
       4.750640996702e-01       3.581241873796e+02 
       4.782733969476e-01       3.529445024029e+02 
       4.814826944156e-01       3.478655636175e+02 
       4.846919920702e-01       3.429009974744e+02 
       4.879012899078e-01       3.380577842304e+02 
       4.911105879247e-01       3.333438154746e+02 
       4.943198861176e-01       3.287581283482e+02 
       4.975291844828e-01       3.242940951728e+02 
       5.007384830173e-01       3.199368733154e+02 
       5.039477817175e-01       3.156838442117e+02 
       5.071570805806e-01       3.115203952968e+02 
       5.103663796032e-01       3.074274091167e+02 
       5.135756787825e-01       3.034322961727e+02 
       5.167849781155e-01       2.994955927527e+02 
       5.199942775994e-01       2.956255891235e+02 
       5.232035772314e-01       2.918050557705e+02 
       5.264128770087e-01       2.880358816414e+02 
       5.296221769288e-01       2.843139793528e+02 
       5.328314769889e-01       2.806418203144e+02 
       5.360407771867e-01       2.770236163769e+02 
       5.392500775196e-01       2.734627439498e+02 
       5.424593779852e-01       2.699669754802e+02 
       5.456686785812e-01       2.665353647522e+02 
       5.488779793053e-01       2.631683255689e+02 
       5.520872801552e-01       2.598626240082e+02 
       5.552965811288e-01       2.566097996268e+02 
       5.585058822239e-01       2.534385223757e+02 
       5.617151834385e-01       2.503212059821e+02 
       5.649244847704e-01       2.472652992149e+02 
       5.920415753842e-01       2.235210213373e+02 
       6.226797535043e-01       2.001974660451e+02 
       6.580901362299e-01       1.773672303459e+02 
       7.003067509750e-01       1.545973954646e+02 
       7.528858998178e-01       1.316037105621e+02 
       8.226012642188e-01       1.078761563193e+02 
       9.234399345076e-01       8.297840616062e+01 
       1.083680322121e+00       5.743254917981e+01 
       1.337148164147e+00       3.513544233787e+01 
       1.681142237939e+00       2.037829649405e+01 
       2.116394431524e+00       1.167671743369e+01 
       2.664382604611e+00       6.636025080226e+00 
       3.354258967630e+00       3.743806460731e+00 
       4.222761852088e+00       2.097752266430e+00 
       5.316142203548e+00       1.168384996700e+00 
